task_template,num_episodes,total_steps,total_elements_seen,avg_steps_per_episode,avg_elements_per_episode,avg_elements_per_step_weighted,avg_elements_per_step_unweighted
NotesMeetingAttendeeCount,1,6,0,6.0,0.0,0.0,0.0
NotesRecipeIngredientCount,1,9,0,9.0,0.0,0.0,0.0
NotesTodoItemCount,1,4,0,4.0,0.0,0.0,0.0
OpenAppTaskEval,1,3,0,3.0,0.0,0.0,0.0
OsmAndFavorite,1,13,0,13.0,0.0,0.0,0.0
OsmAndMarker,1,2,0,2.0,0.0,0.0,0.0
OsmAndTrack,1,20,0,20.0,0.0,0.0,0.0
RecipeAddMultipleRecipes,1,20,0,20.0,0.0,0.0,0.0
RecipeAddMultipleRecipesFromImage,1,20,0,20.0,0.0,0.0,0.0
RecipeAddMultipleRecipesFromMarkor,1,19,0,19.0,0.0,0.0,0.0
RecipeAddMultipleRecipesFromMarkor2,1,20,0,20.0,0.0,0.0,0.0
RecipeAddSingleRecipe,1,20,0,20.0,0.0,0.0,0.0
RecipeDeleteDuplicateRecipes,1,10,0,10.0,0.0,0.0,0.0
RecipeDeleteDuplicateRecipes2,1,20,0,20.0,0.0,0.0,0.0
RecipeDeleteDuplicateRecipes3,1,20,0,20.0,0.0,0.0,0.0
RecipeDeleteMultipleRecipes,1,20,0,20.0,0.0,0.0,0.0
RecipeDeleteMultipleRecipesWithConstraint,1,4,0,4.0,0.0,0.0,0.0
RecipeDeleteMultipleRecipesWithNoise,1,20,0,20.0,0.0,0.0,0.0
RecipeDeleteSingleRecipe,1,7,0,7.0,0.0,0.0,0.0
RecipeDeleteSingleWithRecipeWithNoise,1,11,0,11.0,0.0,0.0,0.0
SaveCopyOfReceiptTaskEval,1,9,0,9.0,0.0,0.0,0.0
SimpleCalendarAddOneEvent,1,20,0,20.0,0.0,0.0,0.0
SimpleCalendarAddOneEventInTwoWeeks,1,20,0,20.0,0.0,0.0,0.0
SimpleCalendarAddOneEventRelativeDay,1,20,0,20.0,0.0,0.0,0.0
SimpleCalendarAddOneEventTomorrow,1,20,0,20.0,0.0,0.0,0.0
SimpleCalendarAddRepeatingEvent,1,20,0,20.0,0.0,0.0,0.0
SimpleCalendarAnyEventsOnDate,1,2,0,2.0,0.0,0.0,0.0
SimpleCalendarDeleteEvents,1,8,0,8.0,0.0,0.0,0.0
SimpleCalendarDeleteEventsOnRelativeDay,1,12,0,12.0,0.0,0.0,0.0
SimpleCalendarDeleteOneEvent,1,11,0,11.0,0.0,0.0,0.0
SimpleCalendarEventOnDateAtTime,1,5,0,5.0,0.0,0.0,0.0
SimpleCalendarEventsInNextWeek,1,2,0,2.0,0.0,0.0,0.0
SimpleCalendarEventsInTimeRange,1,3,0,3.0,0.0,0.0,0.0
SimpleCalendarEventsOnDate,1,2,0,2.0,0.0,0.0,0.0
SimpleCalendarFirstEventAfterStartTime,1,3,0,3.0,0.0,0.0,0.0
SimpleCalendarLocationOfEvent,1,5,0,5.0,0.0,0.0,0.0
SimpleCalendarNextEvent,1,3,0,3.0,0.0,0.0,0.0
SimpleCalendarNextMeetingWithPerson,1,4,0,4.0,0.0,0.0,0.0
SimpleDrawProCreateDrawing,1,18,0,18.0,0.0,0.0,0.0
SimpleSmsReply,1,9,0,9.0,0.0,0.0,0.0
SimpleSmsReplyMostRecent,1,10,0,10.0,0.0,0.0,0.0
SimpleSmsSend,1,12,0,12.0,0.0,0.0,0.0
SimpleSmsSendClipboardContent,1,12,0,12.0,0.0,0.0,0.0
SportsTrackerActivitiesCountForWeek,1,2,0,2.0,0.0,0.0,0.0
SportsTrackerActivitiesOnDate,1,4,0,4.0,0.0,0.0,0.0
SportsTrackerActivityDuration,1,9,0,9.0,0.0,0.0,0.0
SportsTrackerLongestDistanceActivity,1,3,0,3.0,0.0,0.0,0.0
SportsTrackerTotalDistanceForCategoryOverInterval,1,12,0,12.0,0.0,0.0,0.0
SportsTrackerTotalDurationForCategoryThisWeek,1,2,0,2.0,0.0,0.0,0.0
SystemBluetoothTurnOff,1,8,0,8.0,0.0,0.0,0.0
SystemBluetoothTurnOffVerify,1,10,0,10.0,0.0,0.0,0.0
SystemBluetoothTurnOn,1,10,0,10.0,0.0,0.0,0.0
SystemBluetoothTurnOnVerify,1,10,0,10.0,0.0,0.0,0.0
SystemBrightnessMax,1,10,0,10.0,0.0,0.0,0.0
SystemBrightnessMaxVerify,1,9,0,9.0,0.0,0.0,0.0
SystemBrightnessMin,1,10,0,10.0,0.0,0.0,0.0
SystemBrightnessMinVerify,1,9,0,9.0,0.0,0.0,0.0
SystemCopyToClipboard,1,10,0,10.0,0.0,0.0,0.0
SystemWifiTurnOff,1,10,0,10.0,0.0,0.0,0.0
SystemWifiTurnOffVerify,1,10,0,10.0,0.0,0.0,0.0
TasksCompletedTasksForDate,1,10,372,10.0,372.0,37.2,37.2
TasksDueNextWeek,1,7,201,7.0,201.0,28.7143,28.7143
TasksDueOnDate,1,3,92,3.0,92.0,30.6667,30.6667
TasksHighPriorityTasks,1,2,71,2.0,71.0,35.5,35.5
TasksHighPriorityTasksDueOnDate,1,4,143,4.0,143.0,35.75,35.75
TasksIncompleteTasksOnDate,1,2,70,2.0,70.0,35.0,35.0
TurnOffWifiAndTurnOnBluetooth,1,6,130,6.0,130.0,21.6667,21.6667
TurnOnWifiAndOpenApp,1,14,270,14.0,270.0,19.2857,19.2857
VlcCreatePlaylist,1,20,397,20.0,397.0,19.85,19.85
VlcCreateTwoPlaylists,1,20,612,20.0,612.0,30.6,30.6
